data_particao,MediaDiaria
2022-01-01,64.0
2022-02-01,80.1
2022-03-01,76.166666666666671
2022-04-01,75.766666666666666
2022-05-01,90.7
2022-06-01,103.66666666666667
2022-07-01,119.3
2022-08-01,101.23333333333333
2022-09-01,85.4
2022-10-01,87.466666666666669
2022-11-01,80.233333333333334
2022-12-01,73.066666666666663
2023-01-01,70.966666666666669
2023-02-01,59.7
2023-03-01,75.666666666666671
2023-04-01,61.333333333333336
2023-05-01,39.333333333333336
2023-06-01,40.466666666666669
2023-07-01,21.433333333333334
2023-08-01,2.0333333333333332
2023-09-01,3.0666666666666669
2023-10-01,1.2
2023-11-01,0.96666666666666667
2023-12-01,0.33333333333333331